Site,Transect,Pit,Species,Month,ug_cm2_month,Year
Wade,Wet,8,Ammonium,May,1.22,2022
Wade,Wet,8,Ammonium,June,28.02,2022
Wade,Wet,8,Ammonium,July,4.46,2022
Wade,Wet,8,Ammonium,August,1.56,2022
Wade,Wet,8,Ammonium,September,1.77,2022
Wade,Wet,8,Ammonium,October,2.07,2022
Wade,Wet,8,Ammonium,November,,2022
Wade,Wet,8,Ammonium,December,0.66,2022
Wade,Wet,8,Ammonium,January,0.66,2023
Wade,Wet,8,Ammonium,February,3.09,2023
Wade,Wet,8,Ammonium,March,0.55,2023
Wade,Wet,8,Ammonium,April,0.55,2023
Wade,Wet,8,Ammonium,May,0.37,2023
Wade,Wet,8,Nitrate,December,0.48,2021
Wade,Wet,8,Nitrate,January,0,2022
Wade,Wet,8,Nitrate,February,0,2022
Wade,Wet,8,Nitrate,March,0,2022
Wade,Wet,8,Nitrate,April,0.69,2022
Wade,Wet,8,Nitrate,May,0.56,2022
Wade,Wet,8,Nitrate,June,2.8,2022
Wade,Wet,8,Nitrate,July,2.79,2022
Wade,Wet,8,Nitrate,August,2.58,2022
Wade,Wet,8,Nitrate,September,3.98,2022
Wade,Wet,8,Nitrate,October,8.89,2022
Wade,Wet,8,Nitrate,November,5.37,2022
Wade,Wet,8,Nitrate,December,1.52,2022
Wade,Wet,8,Nitrate,January,1.52,2023
Wade,Wet,8,Nitrate,February,1.48,2023
Wade,Wet,8,Nitrate,March,1.56,2023
Wade,Wet,8,Nitrate,April,1.56,2023
Wade,Wet,8,Nitrate,May,0.36,2023
Wade,Dry,1,Phosphate,December,-0.06,2021
Wade,Dry,2,Phosphate,December,-0.06,2021
Wade,Dry,3,Phosphate,December,-0.06,2021
Wade,Dry,4,Phosphate,December,-0.03,2021
Wade,Dry,5,Phosphate,December,0.06,2021
Wade,Wet,1,Phosphate,December,0,2021
Wade,Wet,5,Phosphate,December,0.23,2021
Wade,Wet,6,Phosphate,December,0.06,2021
Wade,Wet,7,Phosphate,December,0,2021
Wade,Wet,8,Phosphate,December,0,2021
Hungerford,Dry,1,Phosphate,December,0.05,2021
Hungerford,Dry,2,Phosphate,December,0.38,2021
Hungerford,Wet,1,Phosphate,December,0.49,2021
Hungerford,Wet,2,Phosphate,December,0.76,2021
Hungerford,Wet,3,Phosphate,December,0.79,2021
Hungerford,Wet,5,Phosphate,December,0.11,2021
Wade,Dry,1,Phosphate,January,-0.03,2022
Wade,Dry,2,Phosphate,January,-0.1,2022
Wade,Dry,3,Phosphate,January,-0.08,2022
Wade,Dry,4,Phosphate,January,-0.03,2022
Wade,Dry,5,Phosphate,January,-0.05,2022
Wade,Wet,1,Phosphate,January,0,2022
Wade,Wet,5,Phosphate,January,0.03,2022
Wade,Wet,6,Phosphate,January,0,2022
Wade,Wet,7,Phosphate,January,0,2022
Wade,Wet,8,Phosphate,January,0.03,2022
Hungerford,Dry,1,Phosphate,January,,2022
Hungerford,Dry,2,Phosphate,January,0.03,2022
Hungerford,Wet,1,Phosphate,January,0.23,2022
Hungerford,Wet,2,Phosphate,January,0.97,2022
Hungerford,Wet,3,Phosphate,January,0.33,2022
Hungerford,Wet,5,Phosphate,January,0.03,2022
Wade,Dry,1,Phosphate,February,-0.03,2022
Wade,Dry,2,Phosphate,February,-0.1,2022
Wade,Dry,3,Phosphate,February,-0.08,2022
Wade,Dry,4,Phosphate,February,-0.03,2022
Wade,Dry,5,Phosphate,February,-0.05,2022
Wade,Wet,1,Phosphate,February,0,2022
Wade,Wet,5,Phosphate,February,0.03,2022
Wade,Wet,6,Phosphate,February,0,2022
Wade,Wet,7,Phosphate,February,0,2022
Wade,Wet,8,Phosphate,February,0.03,2022
Hungerford,Dry,1,Phosphate,February,,2022
Hungerford,Dry,2,Phosphate,February,0.03,2022
Hungerford,Wet,1,Phosphate,February,0.23,2022
Hungerford,Wet,2,Phosphate,February,0.97,2022
Hungerford,Wet,3,Phosphate,February,0.33,2022
Hungerford,Wet,5,Phosphate,February,1.39,2022
Wade,Dry,1,Phosphate,March,-0.11,2022
Wade,Dry,2,Phosphate,March,-0.11,2022
Wade,Dry,3,Phosphate,March,-0.11,2022
Wade,Dry,4,Phosphate,March,-0.04,2022
Wade,Dry,5,Phosphate,March,-0.11,2022
Wade,Wet,1,Phosphate,March,-0.05,2022
Wade,Wet,5,Phosphate,March,-0.05,2022
Wade,Wet,6,Phosphate,March,-0.05,2022
Wade,Wet,7,Phosphate,March,-0.11,2022
Wade,Wet,8,Phosphate,March,-0.16,2022
Hungerford,Dry,1,Phosphate,March,,2022
Hungerford,Dry,2,Phosphate,March,0.03,2022
Hungerford,Wet,1,Phosphate,March,0.23,2022
Hungerford,Wet,2,Phosphate,March,0.97,2022
Hungerford,Wet,3,Phosphate,March,0.33,2022
Hungerford,Wet,5,Phosphate,March,1.39,2022
Wade,Dry,1,Phosphate,April,-0.1,2022
Wade,Dry,2,Phosphate,April,-0.07,2022
Wade,Dry,3,Phosphate,April,-0.09,2022
Wade,Dry,4,Phosphate,April,-0.07,2022
Wade,Dry,5,Phosphate,April,-0.07,2022
Wade,Wet,1,Phosphate,April,-0.12,2022
Wade,Wet,5,Phosphate,April,-0.06,2022
Wade,Wet,6,Phosphate,April,-0.05,2022
Wade,Wet,7,Phosphate,April,-0.02,2022
Wade,Wet,8,Phosphate,April,0.07,2022
Hungerford,Dry,1,Phosphate,April,1.51,2022
Hungerford,Dry,2,Phosphate,April,0.03,2022
Hungerford,Wet,1,Phosphate,April,0.47,2022
Hungerford,Wet,2,Phosphate,April,0.7,2022
Hungerford,Wet,3,Phosphate,April,0.35,2022
Hungerford,Wet,5,Phosphate,April,1.39,2022
Wade,Dry,1,Phosphate,May,0.03,2022
Wade,Dry,2,Phosphate,May,0.2,2022
Wade,Dry,3,Phosphate,May,0.3,2022
Wade,Dry,4,Phosphate,May,0.02,2022
Wade,Dry,5,Phosphate,May,0.08,2022
Wade,Wet,1,Phosphate,May,0.21,2022
Wade,Wet,5,Phosphate,May,0.39,2022
Wade,Wet,6,Phosphate,May,-0.14,2022
Wade,Wet,7,Phosphate,May,0.08,2022
Wade,Wet,8,Phosphate,May,0.44,2022
Hungerford,Dry,1,Phosphate,May,,2022
Hungerford,Dry,2,Phosphate,May,1.92,2022
Hungerford,Wet,1,Phosphate,May,1.75,2022
Hungerford,Wet,2,Phosphate,May,3.08,2022
Hungerford,Wet,3,Phosphate,May,0.77,2022
Hungerford,Wet,5,Phosphate,May,3.27,2022
Wade,Dry,1,Phosphate,June,0.45,2022
Wade,Dry,2,Phosphate,June,0.85,2022
Wade,Dry,3,Phosphate,June,0.85,2022
Wade,Dry,4,Phosphate,June,0.68,2022
Wade,Dry,5,Phosphate,June,1.02,2022
Wade,Wet,1,Phosphate,June,0.56,2022
Wade,Wet,5,Phosphate,June,0.39,2022
Wade,Wet,6,Phosphate,June,1.24,2022
Wade,Wet,7,Phosphate,June,1.47,2022
Wade,Wet,8,Phosphate,June,2.03,2022
Hungerford,Dry,1,Phosphate,June,,2022
Hungerford,Dry,2,Phosphate,June,2.6,2022
Hungerford,Wet,1,Phosphate,June,2.26,2022
Hungerford,Wet,2,Phosphate,June,1.92,2022
Hungerford,Wet,3,Phosphate,June,2.59,2022
Hungerford,Wet,5,Phosphate,June,2.26,2022
Wade,Dry,1,Phosphate,July,0.03,2022
Wade,Dry,2,Phosphate,July,0.58,2022
Wade,Dry,3,Phosphate,July,0.36,2022
Wade,Dry,4,Phosphate,July,0.12,2022
Wade,Dry,5,Phosphate,July,0.47,2022
Wade,Wet,1,Phosphate,July,0.13,2022
Wade,Wet,5,Phosphate,July,0.37,2022
Wade,Wet,6,Phosphate,July,0.84,2022
Wade,Wet,7,Phosphate,July,0.08,2022
Wade,Wet,8,Phosphate,July,0.89,2022
Hungerford,Dry,1,Phosphate,July,2.21,2022
Hungerford,Dry,2,Phosphate,July,3.53,2022
Hungerford,Wet,1,Phosphate,July,1.84,2022
Hungerford,Wet,2,Phosphate,July,3.47,2022
Hungerford,Wet,3,Phosphate,July,5.26,2022
Hungerford,Wet,5,Phosphate,July,5.26,2022
Wade,Dry,1,Phosphate,August,0.94,2022
Wade,Dry,2,Phosphate,August,4.17,2022
Wade,Dry,3,Phosphate,August,0.19,2022
Wade,Dry,4,Phosphate,August,1.18,2022
Wade,Dry,5,Phosphate,August,0.12,2022
Wade,Wet,1,Phosphate,August,1.84,2022
Wade,Wet,5,Phosphate,August,0.09,2022
Wade,Wet,6,Phosphate,August,0.04,2022
Wade,Wet,7,Phosphate,August,0.18,2022
Wade,Wet,8,Phosphate,August,3.56,2022
Hungerford,Dry,1,Phosphate,August,2.61,2022
Hungerford,Dry,2,Phosphate,August,3.82,2022
Hungerford,Wet,1,Phosphate,August,1.8,2022
Hungerford,Wet,2,Phosphate,August,1.52,2022
Hungerford,Wet,3,Phosphate,August,4.76,2022
Hungerford,Wet,5,Phosphate,August,8.33,2022
Wade,Dry,1,Phosphate,September,0.54,2022
Wade,Dry,2,Phosphate,September,0.04,2022
Wade,Dry,3,Phosphate,September,-0.02,2022
Wade,Dry,4,Phosphate,September,0.15,2022
Wade,Dry,5,Phosphate,September,1.82,2022
Wade,Wet,1,Phosphate,September,1.58,2022
Wade,Wet,5,Phosphate,September,1.46,2022
Wade,Wet,6,Phosphate,September,2,2022
Wade,Wet,7,Phosphate,September,9.65,2022
Wade,Wet,8,Phosphate,September,-0.05,2022
Hungerford,Dry,1,Phosphate,September,3.56,2022
Hungerford,Dry,2,Phosphate,September,1.71,2022
Hungerford,Wet,1,Phosphate,September,0.01,2022
Hungerford,Wet,2,Phosphate,September,3.11,2022
Hungerford,Wet,3,Phosphate,September,1.6,2022
Hungerford,Wet,5,Phosphate,September,4.57,2022
Wade,Dry,1,Phosphate,October,0.34,2022
Wade,Dry,2,Phosphate,October,0.16,2022
Wade,Dry,3,Phosphate,October,0.24,2022
Wade,Dry,4,Phosphate,October,-0.02,2022
Wade,Dry,5,Phosphate,October,3.21,2022
Wade,Wet,1,Phosphate,October,-0.01,2022
Wade,Wet,5,Phosphate,October,0.34,2022
Wade,Wet,6,Phosphate,October,0.76,2022
Wade,Wet,7,Phosphate,October,1.1,2022
Wade,Wet,8,Phosphate,October,1.6,2022
Hungerford,Dry,1,Phosphate,October,1.68,2022
Hungerford,Dry,2,Phosphate,October,2.44,2022
Hungerford,Wet,1,Phosphate,October,4.85,2022
Hungerford,Wet,2,Phosphate,October,6.32,2022
Hungerford,Wet,3,Phosphate,October,0.32,2022
Hungerford,Wet,5,Phosphate,October,7.44,2022
Wade,Dry,1,Phosphate,November,0.21,2022
Wade,Dry,2,Phosphate,November,0.57,2022
Wade,Dry,3,Phosphate,November,1.38,2022
Wade,Dry,4,Phosphate,November,-0.03,2022
Wade,Dry,5,Phosphate,November,0.84,2022
Wade,Wet,1,Phosphate,November,0.18,2022
Wade,Wet,5,Phosphate,November,0.25,2022
Wade,Wet,6,Phosphate,November,0.73,2022
Wade,Wet,7,Phosphate,November,0.17,2022
Wade,Wet,8,Phosphate,November,2.11,2022
Hungerford,Dry,1,Phosphate,November,8.95,2022
Hungerford,Dry,2,Phosphate,November,3.95,2022
Hungerford,Wet,1,Phosphate,November,8.96,2022
Hungerford,Wet,2,Phosphate,November,6.59,2022
Hungerford,Wet,3,Phosphate,November,9.12,2022
Hungerford,Wet,5,Phosphate,November,8.34,2022
Wade,Dry,1,Phosphate,December,0.63,2022
Wade,Dry,2,Phosphate,December,0.35,2022
Wade,Dry,3,Phosphate,December,0.87,2022
Wade,Dry,4,Phosphate,December,0.3,2022
Wade,Dry,5,Phosphate,December,1.59,2022
Wade,Wet,1,Phosphate,December,0.86,2022
Wade,Wet,5,Phosphate,December,0.86,2022
Wade,Wet,6,Phosphate,December,0.05,2022
Wade,Wet,7,Phosphate,December,0.01,2022
Wade,Wet,8,Phosphate,December,0.3,2022
Hungerford,Dry,1,Phosphate,December,3.08,2022
Hungerford,Dry,2,Phosphate,December,,2022
Hungerford,Wet,1,Phosphate,December,1.05,2022
Hungerford,Wet,2,Phosphate,December,0.78,2022
Hungerford,Wet,3,Phosphate,December,2.24,2022
Hungerford,Wet,5,Phosphate,December,5.46,2022
Wade,Dry,1,Phosphate,January,0.63,2023
Wade,Dry,2,Phosphate,January,0.35,2023
Wade,Dry,3,Phosphate,January,0.87,2023
Wade,Dry,4,Phosphate,January,0.3,2023
Wade,Dry,5,Phosphate,January,1.59,2023
Wade,Wet,1,Phosphate,January,0.86,2023
Wade,Wet,5,Phosphate,January,0.86,2023
Wade,Wet,6,Phosphate,January,0.05,2023
Wade,Wet,7,Phosphate,January,0.01,2023
Wade,Wet,8,Phosphate,January,0.3,2023
Hungerford,Dry,1,Phosphate,January,3.08,2023
Hungerford,Dry,2,Phosphate,January,,2023
Hungerford,Wet,1,Phosphate,January,1.05,2023
Hungerford,Wet,2,Phosphate,January,0.78,2023
Hungerford,Wet,3,Phosphate,January,2.24,2023
Hungerford,Wet,5,Phosphate,January,5.46,2023
Wade,Dry,1,Phosphate,February,0.69,2023
Wade,Dry,2,Phosphate,February,0.48,2023
Wade,Dry,3,Phosphate,February,1.17,2023
Wade,Dry,4,Phosphate,February,0.36,2023
Wade,Dry,5,Phosphate,February,0.46,2023
Wade,Wet,1,Phosphate,February,0.62,2023
Wade,Wet,5,Phosphate,February,1.09,2023
Wade,Wet,6,Phosphate,February,0.64,2023
Wade,Wet,7,Phosphate,February,0.61,2023
Wade,Wet,8,Phosphate,February,0.63,2023
Hungerford,Dry,1,Phosphate,February,5.08,2023
Hungerford,Dry,2,Phosphate,February,,2023
Hungerford,Wet,1,Phosphate,February,0.43,2023
Hungerford,Wet,2,Phosphate,February,,2023
Hungerford,Wet,3,Phosphate,February,1.17,2023
Hungerford,Wet,5,Phosphate,February,1.36,2023
Wade,Dry,1,Phosphate,March,0.55,2023
Wade,Dry,2,Phosphate,March,0.37,2023
Wade,Dry,3,Phosphate,March,1.31,2023
Wade,Dry,4,Phosphate,March,0.49,2023
Wade,Dry,5,Phosphate,March,0.28,2023
Wade,Wet,1,Phosphate,March,0.78,2023
Wade,Wet,5,Phosphate,March,1.91,2023
Wade,Wet,6,Phosphate,March,-0.18,2023
Wade,Wet,7,Phosphate,March,0.1,2023
Wade,Wet,8,Phosphate,March,0.29,2023
Hungerford,Dry,1,Phosphate,March,3.68,2023
Hungerford,Dry,2,Phosphate,March,,2023
Hungerford,Wet,1,Phosphate,March,0.64,2023
Hungerford,Wet,2,Phosphate,March,0.66,2023
Hungerford,Wet,3,Phosphate,March,1.77,2023
Hungerford,Wet,5,Phosphate,March,4.98,2023
Wade,Dry,1,Phosphate,April,0.55,2023
Wade,Dry,2,Phosphate,April,0.37,2023
Wade,Dry,3,Phosphate,April,1.31,2023
Wade,Dry,4,Phosphate,April,0.49,2023
Wade,Dry,5,Phosphate,April,0.28,2023
Wade,Wet,1,Phosphate,April,0.78,2023
Wade,Wet,5,Phosphate,April,1.91,2023
Wade,Wet,6,Phosphate,April,-0.18,2023
Wade,Wet,7,Phosphate,April,0.1,2023
Wade,Wet,8,Phosphate,April,0.29,2023
Hungerford,Dry,1,Phosphate,April,3.68,2023
Hungerford,Dry,2,Phosphate,April,,2023
Hungerford,Wet,1,Phosphate,April,0.64,2023
Hungerford,Wet,2,Phosphate,April,0.66,2023
Hungerford,Wet,3,Phosphate,April,1.77,2023
Hungerford,Wet,5,Phosphate,April,4.98,2023
Wade,Dry,1,Phosphate,May,0.58,2023
Wade,Dry,2,Phosphate,May,4.29,2023
Wade,Dry,3,Phosphate,May,0.48,2023
Wade,Dry,4,Phosphate,May,0.51,2023
Wade,Dry,5,Phosphate,May,0.55,2023
Wade,Wet,1,Phosphate,May,0.63,2023
Wade,Wet,5,Phosphate,May,1.36,2023
Wade,Wet,6,Phosphate,May,0.19,2023
Wade,Wet,7,Phosphate,May,2.26,2023
Wade,Wet,8,Phosphate,May,1.71,2023
Hungerford,Dry,1,Phosphate,May,6.15,2023
Hungerford,Dry,2,Phosphate,May,,2023
Hungerford,Wet,1,Phosphate,May,0.25,2023
Hungerford,Wet,2,Phosphate,May,,2023
Hungerford,Wet,3,Phosphate,May,4.02,2023
Hungerford,Wet,5,Phosphate,May,1.83,2023
